Rank,Company,Website,HQ,Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Profitability,WLB (1-5),Visa,Domain Growth Score,Comp Score,Stability Score,Work Mode Score,Industry Score,WLB Score,Match Score
101,Tome.app,tome.app,San Francisco USA,AI Presentation/Storytelling,Both,Hybrid SF,1105,1402,USD,Series C,228000000,213000000,Aug-2025,No,4.0,No,8,7,8,6,8,8,58.5
102,Gamma,gamma.app,San Francisco USA,AI Visual Storytelling,Both,Hybrid SF,1105,1402,USD,Series B,68000000,68000000,Nov-2025,No,4.1,No,8,7,7.5,6,8,8.5,57.5
103,Coda,coda.io,San Francisco USA,AI Collaborative Workspace,Both,Hybrid SF,1190,1487,USD,Series D,400000000,100000000,Oct-2025,No,4.2,No,7,7.5,7.5,6,7,8.5,57.0
104,Pitch,pitch.com,Berlin Germany,Collaborative Presentations,Both,Hybrid Berlin,680,935,USD,Series B,85000000,85000000,May-2021,No,4.3,No,7,6,7,6,7,8.5,56.5
105,Beautiful.ai,beautiful.ai,San Francisco USA,AI Presentation Design,Both,Hybrid SF,850,1105,USD,Series B,16000000,16000000,May-2018,No,4.0,No,7,6,5,6,7,8,52.0
106,Whimsical,whimsical.com,Distributed,AI Flowcharts & Wireframes,Both,Remote-first,1402,1700,USD,Series A,30000000,30000000,Nov-2021,No,4.5,No,7,8,6.5,10,7,9,59.5
107,Mixpanel,mixpanel.com,San Francisco USA,Product Analytics,B2B,Hybrid SF,1105,1402,USD,Series C,77000000,65000000,Nov-2021,No,4.0,No,6,7,7,6,6,8,55.5
108,Pendo,pendo.io,Raleigh USA,Product Analytics & Guidance,B2B,Hybrid,1105,1402,USD,Series F,356000000,100000000,Jul-2021,No,4.1,No,6,7,7.5,6,6,8,55.8
109,Heap,heap.io,San Francisco USA,Digital Analytics,B2B,Hybrid SF,1020,1317,USD,Series D,195000000,55000000,Dec-2021,No,3.9,No,6,7,7,6,6,7.5,55.3
110,Contentsquare,contentsquare.com,Paris France,Digital Experience Analytics,B2B,Hybrid Paris,680,935,USD,Series F,1400000000,600000000,Jul-2022,No,3.8,No,6,6,8,6,6,7.5,55.0
111,UserTesting,usertesting.com,San Francisco USA,User Research Platform,B2B,Hybrid,935,1190,USD,PE-owned,1300000000,Acquired,Oct-2022,No,3.8,No,6,6.5,7,6,6,7.5,54.8
112,Hotjar,hotjar.com,Distributed,Behavior Analytics,B2B,Remote-first,935,1190,USD,Acquired,Acquired,Acquired,2021,No,4.3,No,6,6.5,7.5,10,6,8.5,56.5
113,Smartly.io,smartly.io,Helsinki Finland,AI Marketing Automation,B2B,Hybrid Helsinki,680,850,USD,Series B,140000000,140000000,2021,No,3.8,No,7,5.5,7,6,6,7.5,52.3
114,Mutiny,mutiny.com,San Francisco USA,B2B Website Personalization,B2B,Hybrid SF,1190,1487,USD,Series B,67000000,50000000,2022,No,4.0,No,8,7.5,7.5,6,7,8,57.6
115,Salesloft,salesloft.com,Atlanta USA,Sales Engagement AI,B2B,Hybrid Atlanta,1105,1402,USD,Series D,245000000,100000000,2021,No,3.7,No,8,7,7.5,6,7,7.5,57.3
116,Lottiefiles,lottiefiles.com,Kuala Lumpur Malaysia,Design Animation Platform,Both,Remote,680,1020,USD,Series B,37000000,37000000,2022,No,4.2,No,7,6,7,10,8,8.5,56.6
117,Spline,spline.design,Distributed,3D Design Tool,Both,Remote-first,850,1190,USD,Series A,8000000,8000000,2023,No,4.4,No,7,6,6.5,10,9,8.5,55.9
118,Rive,rive.app,San Francisco USA,Interactive Motion Design,Both,Remote,850,1190,USD,Series A,11000000,11000000,2022,No,4.3,No,7,6,6.5,10,8,8.5,55.7
119,Jitter,jitter.video,Paris France,Motion Design Tool,Both,Remote,595,850,USD,Seed,2000000,2000000,2022,No,4.2,No,7,5,5.5,10,8,8,53.7
120,Penpot,penpot.app,Zaragoza Spain,Open-source Design Tool,Both,Remote-first,595,850,USD,Open Source,8000000,8000000,2023,No,4.3,No,7,5,6,10,8,8.5,53.9
121,Zeplin,zeplin.io,San Francisco USA,Design Handoff Tool,Both,Hybrid SF,850,1105,USD,Series A,14000000,14000000,2019,No,4.0,No,7,6,6,6,8,8,52.4
122,Supernova,supernova.io,Prague Czech Republic,Design System Tool,Both,Remote,680,935,USD,Series A,7000000,7000000,2022,No,4.1,No,7,5.5,6,10,9,8,53.8
123,InVision,invisionapp.com,New York USA,Digital Product Design,Both,Remote,850,1105,USD,Series F,350000000,115000000,2018,No,3.5,No,7,6,5.5,10,7,7,51.5
124,Marvel,marvelapp.com,London UK,Prototyping Tool,Both,Remote,595,850,USD,Bootstrapped,0,0,N/A,No,4.0,No,7,5,6,10,7,8,52.5
125,ProtoPie,protopie.io,Seoul South Korea,Advanced Prototyping,Both,Hybrid Seoul,595,850,USD,Series A,5000000,5000000,2022,No,4.1,No,7,5,6.5,8,8,8,52.4
126,Axure,axure.com,San Diego USA,UX Prototyping Tool,Both,Hybrid,850,1105,USD,Bootstrapped,0,0,N/A,Yes,3.8,No,6,6,7,6,7,7.5,51.8
127,Abstract,abstract.com,San Francisco USA,Design Version Control,Both,Remote,850,1020,USD,Series B,78000000,30000000,2020,No,3.8,No,7,6,6,10,8,7.5,52.6
128,Phase,phase.com,Distributed,Collaborative UI Design,Both,Remote,680,935,USD,Seed,3000000,3000000,2023,No,4.2,No,7,5,5,10,8,8,51.5
129,Avocode,avocode.com,Prague Czech Republic,Design Handoff,Both,Hybrid,595,850,USD,Acquired,N/A,Acquired,2021,No,3.5,No,6,5,5.5,6,7,7,48.5
130,Monday.com,monday.com,Tel Aviv Israel,Work OS Platform,Both,Hybrid,1105,1402,USD,Public,0,Profitable,N/A,No,4.0,No,6,7,8.5,6,6,8,58.5
131,ClickUp,clickup.com,San Diego USA,Project Management + AI,Both,Remote-first,1105,1402,USD,Series C,537000000,400000000,2021,No,4.1,No,7,7,7.5,10,6,8,58.0
132,Asana,asana.com,San Francisco USA,Work Management,Both,Hybrid SF,1190,1487,USD,Public,0,Not profitable,N/A,No,3.9,No,6,7.5,7,6,6,7.5,57.3
133,Height,height.app,San Francisco USA,Collaborative PM Tool,Both,Remote,935,1190,USD,Seed,3000000,3000000,2021,No,4.2,No,6,6.5,5,10,6,8.5,52.9
134,Shortcut,shortcut.com,New York USA,Dev PM Tool,Both,Remote,850,1105,USD,Series B,33000000,15000000,2021,No,4.1,No,6,6,6.5,10,6,8,52.8
135,Plane,plane.so,Distributed,Open-source PM Tool,Both,Remote,595,850,USD,Series A,6000000,6000000,2023,No,4.1,No,6,5,5.5,10,6,8,50.5
136,Aha!,aha.io,Distributed,Product Roadmapping,B2B,Remote-first,1020,1275,USD,Bootstrapped,0,Profitable,N/A,No,4.4,No,6,7,8,10,6,8.5,58.5
137,Roadmunk,roadmunk.com,Toronto Canada,Roadmapping Tool,B2B,Hybrid,680,935,USD,Acquired,N/A,Acquired,2021,No,3.9,No,6,5.5,6.5,6,6,7.5,50.3
138,Atlassian (Jira PM),atlassian.com,Sydney Australia,Dev & PM Tools,B2B,Hybrid,1190,1700,USD,Public,0,Profitable,N/A,Yes,3.9,Yes,6,7.5,9.5,6,6,7.5,62.4
139,Leapsome,leapsome.com,Berlin Germany,HR Performance & Learning,B2B,Hybrid Berlin,680,935,USD,Series A,60000000,60000000,2022,No,4.3,No,6,5.5,7,6,6,8.5,52.8
140,Lattice,lattice.com,San Francisco USA,HR People Management,B2B,Remote-friendly,1020,1317,USD,Series F,329000000,175000000,2022,No,4.3,No,6,7,7.5,8,6,8.5,55.3
141,15Five,15five.com,San Francisco USA,Manager Effectiveness,B2B,Remote,850,1105,USD,Series C,73000000,52000000,2021,No,4.2,No,6,6,7,10,6,8.5,54.5
142,Culture Amp,cultureamp.com,Melbourne Australia,Employee Engagement,B2B,Remote-friendly,850,1105,USD,Series F,258000000,100000000,2022,No,4.5,No,6,6,7.5,8,6,9,54.3
143,Workboard,workboard.com,Redwood City USA,OKR & Strategy Execution,B2B,Hybrid,850,1105,USD,Series D,93000000,30000000,2021,No,3.8,No,6,6,7,6,6,7.5,52.1
144,Betterworks,betterworks.com,Redwood City USA,Continuous Performance Mgmt,B2B,Hybrid,850,1105,USD,Series C,65000000,25000000,2021,No,4.0,No,6,6,7,6,6,8,52.5
145,Netcore Cloud,netcorecloud.com,Mumbai India,Marketing Automation,B2B,Hybrid Mumbai,17,28,INR,Series C,103000000,103000000,2019,No,3.8,No,6,4,7,5,6,7.5,47.8
146,Appointy,appointy.com,Bhopal India,Scheduling Software,Both,Hybrid Bhopal,10,18,INR,Bootstrapped,0,0,Profitable,No,4.0,No,5,2,7,7,5,8,40.9
147,Grammarly,grammarly.com,San Francisco USA,AI Writing Assistant,Both,Hybrid SF,1190,1487,USD,Private,200000000,200000000,2021,No,4.1,Yes,7,7.5,9.5,6,7,8,62.5
148,Jasper AI,jasper.ai,Austin USA,AI Content Generation,B2B,Remote-first,1105,1402,USD,Series A,131000000,125000000,2022,No,4.0,No,8,7,7.5,10,7,8,60.5
149,Copy.ai,copy.ai,Memphis USA,AI Copywriting,Both,Remote,850,1105,USD,Series A,13900000,13900000,2022,No,4.0,No,8,6,6.5,10,7,8,56.3
150,Writesonic,writesonic.com,San Francisco USA,AI Writing Platform,Both,Remote,850,1105,USD,Series A,2600000,2600000,2021,No,4.0,No,8,6,5.5,10,7,8,55.1
151,Stability AI,stability.ai,London UK,Generative AI / Image,Both,Remote,850,1190,USD,Series A,101000000,101000000,2022,No,3.5,No,9,6,5.5,10,9,7,56.9
152,Leonardo.ai,leonardo.ai,Sydney Australia,AI Image Generation,B2C,Remote-friendly,850,1190,USD,Series A,47000000,47000000,2023,No,4.1,No,9,6,7,8,9,8.5,58.5
153,Adobe (Firefly PM),adobe.com,San Jose USA,AI Creative Suite,Both,Hybrid,1445,1785,USD,Public,0,Profitable,N/A,Yes,4.0,Yes,9,8.5,10,6,9,8,66.4
154,Canva India,canva.com,Remote India,AI Design,Both,Remote,45,65,INR,Late Stage,560000000,Profitable,N/A,Yes,4.3,Yes,9,8,9,10,10,8.5,71.6
155,Codeium,codeium.com,Mountain View USA,AI Code Completion,Both,Hybrid,1190,1487,USD,Series C,243000000,150000000,2024,No,4.0,No,9,7.5,8,6,8,8,62.0
156,Cursor,cursor.sh,San Francisco USA,AI Code Editor,Both,Hybrid SF,1275,1572,USD,Series B,105000000,60000000,2024,No,4.2,No,9,8,8,6,8,8.5,63.2
157,Tabnine,tabnine.com,Tel Aviv Israel,AI Code Completion,Both,Hybrid,850,1105,USD,Series C,55000000,25000000,2022,No,4.0,No,9,6,7.5,6,8,8,57.2
158,GitHub Copilot PM,github.com,Remote/Global,AI Developer Tools,Both,Hybrid,1445,1785,USD,Public,0,Profitable,N/A,Yes,4.0,Yes,9,8.5,10,6,8,8,65.2
159,Replit,replit.com,San Francisco USA,AI Collaborative Coding,Both,Hybrid SF,980,1190,USD,Series B,97400000,65000000,2023,No,4.0,No,9,6.5,7.5,6,8,8,58.9
160,Glean,glean.com,Palo Alto USA,Enterprise AI Search,B2B,Hybrid,1275,1572,USD,Series D,600000000,200000000,2024,No,3.8,No,9,8,8.5,6,7,7.5,63.3
161,Fireflies.ai,fireflies.ai,San Francisco USA,AI Meeting Intelligence,Both,Remote,850,1105,USD,Series A,19000000,19000000,2022,No,4.1,No,8,6,7,10,7,8.5,56.9
162,Otter.ai,otter.ai,Mountain View USA,AI Meeting Transcription,Both,Hybrid,850,1105,USD,Series B,50000000,50000000,2021,No,4.0,No,8,6,7.5,6,7,8,56.3
163,Mem,mem.ai,San Francisco USA,AI Knowledge Management,Both,Hybrid,850,1105,USD,Series A,23500000,23500000,2022,No,4.2,No,8,6,7,6,7,8.5,55.9
164,Lark (ByteDance),larksuite.com,Singapore,Productivity Suite,Both,Hybrid Singapore,850,1190,USD,Corporate,0,Profitable,N/A,No,4.0,No,7,6.5,8.5,6,7,8,57.3
165,Slack (Salesforce),slack.com,San Francisco USA,Team Communication,Both,Hybrid SF,1360,1700,USD,Acquired,27700000000,Acquired,Jun-2021,Yes,4.1,Yes,7,8,9.5,6,7,8,62.1
166,Notion Calendar,cron.com,San Francisco USA,AI Calendar,Both,Hybrid,1105,1402,USD,Acquired,Acquired,Acquired,2022,No,4.2,No,7,7,8,6,7,8.5,58.2
167,Descript,descript.com,San Francisco USA,AI Audio/Video Editing,Both,Remote-friendly,1445,2000,USD,Series C,104000000,50000000,2022,No,4.2,No,9,9,7,8,9,8.5,66.3
168,HeyGen,heygen.com,Los Angeles USA,AI Video Generation,Both,Remote,1360,1700,USD,Series A,65600000,60000000,Jun-2024,No,4.2,No,9,8,8.5,9,9,8.5,68.5
169,Rytr,rytr.me,Distributed,AI Writing Assistant,Both,Remote,595,850,USD,Bootstrapped,0,Profitable,N/A,No,4.0,No,7,5,7,10,7,8,54.3
170,Miro,miro.com,San Francisco USA,Collaborative Whiteboard,Both,Hybrid,1190,1487,USD,Series D,476000000,400000000,Oct-2025,No,4.2,No,7,7.5,8.5,6,8,8.5,66.3
171,Whimsical standalone,whimsical.com,Distributed,AI Flowcharts,Both,Remote-first,1402,1700,USD,Series A,30000000,30000000,Nov-2021,No,4.5,No,7,8,6.5,10,8,9,61.5
172,Pitch standalone,pitch.com,Berlin Germany,Presentation Collaboration,Both,Hybrid Berlin,680,935,USD,Series B,85000000,85000000,2021,No,4.3,No,7,6,7,6,7,8.5,56.5
173,Atlassian Confluence PM,atlassian.com,Sydney Australia,Knowledge Management,Both,Hybrid,1190,1700,USD,Public,0,Profitable,N/A,Yes,3.9,Yes,6,7.5,9.5,6,6,7.5,62.4
174,Coda standalone,coda.io,San Francisco USA,Connected Workspace,Both,Hybrid,1190,1487,USD,Series D,400000000,100000000,2025,No,4.2,No,7,7.5,7.5,6,7,8.5,57.5
175,Amplitude (Growth PM),amplitude.com,San Francisco USA,Product Analytics,B2B,Hybrid,1190,1487,USD,Public,150000000,150000000,Oct-2025,No,4.0,No,6,7,8,6,7,8,57.4
