Rank,Company,Website,Headquarters,Industry/Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,CTC Source,Role Types,Hiring Status,Role Impact Signal,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Investors,Profitability,Revenue Estimate,WLB Rating,Visa Sponsorship,Domain Growth Score,Industry Alignment Score (0-10),Comp Score (0-10),Stability & Growth Score (0-10),Work Mode Score (0-10),WLB Score (0-10),Match Score (0-100)
181,HiBob,hibob.com,Tel Aviv Israel,HR Platform,B2B,Hybrid,850,1105,USD,Series D,274000000,150000000,2022,No,4.0,No,6,6,7.5,6,6,8,52.8
182,Workato,workato.com,Mountain View USA,Enterprise Automation,B2B,Hybrid,1020,1317,USD,Series E,405000000,200000000,2021,No,3.8,No,7,7,8,6,6,7.5,55.8
183,Zapier,zapier.com,Distributed USA,Workflow Automation,Both,Remote-first,1105,1402,USD,Series A,1400000,1400000,2012,Yes,4.4,No,7,7,9,10,7,8.5,61.5
184,Make (Integromat),make.com,Prague Czech Republic,Workflow Automation,Both,Hybrid,680,935,USD,Series B,15000000,15000000,2021,No,4.0,No,7,5.5,7,6,7,8,53.2
185,n8n,n8n.io,Berlin Germany,Open-source Workflow Automation,Both,Remote-first,680,935,USD,Series B,57800000,35000000,2023,No,4.3,No,7,5.5,7,10,7,8.5,54.9
186,Segment (Twilio),segment.com,San Francisco USA,Customer Data Platform,B2B,Hybrid,1190,1487,USD,Acquired,3200000000,Acquired,2020,No,3.9,No,7,7.5,8.5,6,7,7.5,58.0
187,mParticle,mparticle.com,New York USA,Customer Data Platform,B2B,Hybrid,1020,1317,USD,Series E,272000000,150000000,2021,No,3.8,No,7,7,8,6,7,7.5,56.5
188,Mixpanel (Growth PM),mixpanel.com,San Francisco USA,Product Analytics,B2B,Hybrid,1105,1402,USD,Series C,77000000,65000000,2021,No,4.0,No,6,7,7,6,6,8,55.0
189,PostHog,posthog.com,Distributed,Open-source Product Analytics,Both,Remote-first,935,1190,USD,Series B,27000000,25000000,2022,No,4.4,No,7,6.5,7.5,10,7,8.5,56.8
190,LogRocket,logrocket.com,Boston USA,Frontend Monitoring & UX,B2B,Hybrid,935,1190,USD,Series B,55000000,25000000,2021,No,4.0,No,7,6.5,7.5,6,7,8,54.5
191,Datadog,datadog.com,New York USA,Cloud Monitoring,B2B,Hybrid,1360,1700,USD,Public,0,Profitable,N/A,Yes,3.8,No,7,8.5,9.5,6,6,7.5,62.5
192,New Relic,newrelic.com,San Francisco USA,Observability Platform,B2B,Hybrid,1105,1402,USD,PE-owned,0,N/A,2023,No,3.7,No,7,7,7,6,6,7.5,55.0
193,Sentry,sentry.io,San Francisco USA,Error Tracking / Dev Tool,B2B,Hybrid SF,1105,1402,USD,Series F,217000000,90000000,2022,No,4.2,No,7,7,8,6,6,8.5,55.8
194,Linear (Product PM),linear.app,San Francisco USA,Dev PM Tool,Both,Remote,1190,1487,USD,Series B,52000000,35000000,2022,No,4.5,No,7,7.5,7.5,10,7,9,57.8
195,Vercel,vercel.com,San Francisco USA,Frontend Cloud,Both,Hybrid SF,1190,1487,USD,Series D,313000000,150000000,2024,No,4.1,No,8,7.5,8,6,7,8.5,58.8
196,Netlify,netlify.com,San Francisco USA,Web Development Platform,Both,Remote-first,1020,1317,USD,Series D,107000000,105000000,2021,No,4.2,No,7,7,7.5,10,7,8.5,57.0
197,Supabase,supabase.com,San Francisco USA,Open-source Backend (Firebase alt),Both,Remote-first,935,1190,USD,Series C,196000000,80000000,2023,No,4.3,No,7,6.5,7.5,10,7,8.5,56.6
198,PlanetScale,planetscale.com,San Francisco USA,Database Platform,Both,Remote,935,1190,USD,Series C,105000000,40000000,2022,No,4.0,No,7,6.5,7.5,10,7,8,56.1
199,Hashicorp (IBM),hashicorp.com,San Francisco USA,Cloud Infrastructure,B2B,Remote-first,1105,1402,USD,Acquired,500000000,Acquired,2024,No,3.8,Yes,7,7,9,10,6,7.5,57.5
200,Retool,retool.com,San Francisco USA,Low-code Internal Tools,Both,Hybrid SF,1190,1487,USD,Series C,445000000,45000000,2022,No,4.0,No,7,7.5,8,6,7,8,57.0
201,Jasper AI (Growth PM),jasper.ai,Austin USA,AI Content Enterprise,B2B,Remote,1105,1402,USD,Series A,131000000,125000000,2022,No,4.0,No,8,7,7.5,10,7,8,59.5
202,Copy.ai (PLG PM),copy.ai,Memphis USA,AI Copywriting B2C,Both,Remote,850,1105,USD,Series A,13900000,13900000,2022,No,4.0,No,8,6,6.5,10,7,8,55.3
203,Anyword,anyword.com,Tel Aviv Israel,AI Copy Optimization,Both,Remote,680,935,USD,Series B,30000000,21000000,2022,No,4.0,No,8,5.5,7,10,7,8,54.3
204,Lately.ai,lately.ai,Distributed,AI Social Media,Both,Remote,595,850,USD,Series A,5000000,5000000,2022,No,4.0,No,7,5,6.5,10,7,8,52.0
205,Persado,persado.com,New York USA,AI Language Optimization,B2B,Hybrid NY,935,1190,USD,Series D,220000000,50000000,2020,No,3.8,No,7,6.5,7,6,7,7.5,53.5
206,Writer.com,writer.com,San Francisco USA,Enterprise AI Writing,B2B,Hybrid,1190,1487,USD,Series C,200000000,200000000,2024,No,4.0,No,8,7.5,8,6,7,8,58.9
207,Cohere,cohere.com,Toronto Canada,Enterprise AI Platform,B2B,Remote-friendly,1105,1402,USD,Series D,445000000,270000000,2024,No,4.0,No,9,7,8.5,8,7,8,59.5
208,AI21 Labs,ai21.com,Tel Aviv Israel,Foundation Models,B2B,Hybrid,935,1190,USD,Series C,336000000,208000000,2023,No,3.8,No,9,6.5,8,6,7,7.5,57.5
209,Mistral AI,mistral.ai,Paris France,Foundation Models / LLM,Both,Hybrid Paris,850,1190,USD,Series C,1000000000,640000000,2024,No,4.0,No,9,6.5,8.5,6,8,8,58.8
210,Together AI,together.ai,San Francisco USA,AI Inference Platform,B2B,Hybrid SF,1190,1487,USD,Series B,229000000,106000000,2024,No,4.0,No,9,7.5,8.5,6,7.5,8,60.2
211,Hugging Face,huggingface.co,New York USA,AI Model Hub,Both,Remote-friendly,1105,1402,USD,Series D,395000000,235000000,2023,No,4.3,No,9,7,8.5,8,8,8.5,61.0
212,Scale AI,scale.com,San Francisco USA,AI Data Labeling,B2B,Hybrid,1275,1572,USD,Acquired,$15B,Acquired,2025,No,3.8,No,9,8,9,6,7,7.5,61.5
213,Labelbox,labelbox.com,San Francisco USA,AI Training Data,B2B,Hybrid,1020,1317,USD,Series D,188000000,40000000,2022,No,3.8,No,9,7,8,6,7,7.5,57.5
214,Weights & Biases,wandb.ai,San Francisco USA,MLOps Platform,B2B,Remote-friendly,1105,1402,USD,Series C,200000000,135000000,2023,No,4.2,No,9,7,8,8,7,8.5,59.5
215,Replicate,replicate.com,San Francisco USA,AI Model Deployment,Both,Remote,1020,1317,USD,Series B,60000000,40000000,2023,No,4.2,No,9,7,7.5,10,8,8.5,59.5
216,Modal Labs,modal.com,New York USA,Cloud AI Functions,Both,Hybrid,1105,1402,USD,Series B,55000000,35000000,2024,No,4.0,No,9,7,7.5,6,7,8,57.5
217,Groq,groq.com,Mountain View USA,AI Inference (LPU),B2B,Hybrid,1190,1487,USD,Series C,1050000000,640000000,2024,No,3.8,No,9,7.5,9,6,7,7.5,59.5
218,Perplexity API PM,perplexity.ai,San Francisco USA,AI Search API,B2B,Remote-ok,1530,1870,USD,Series D,500000000,73600000,2025,No,4.3,No,10,9,9,8,8,8.5,66.5
219,Glean (Enterprise PM),glean.com,Palo Alto USA,Enterprise AI Search,B2B,Hybrid,1275,1572,USD,Series D,600000000,200000000,2024,No,3.8,No,9,8,8.5,6,7,7.5,63.3
220,Moveworks,moveworks.com,Mountain View USA,Enterprise AI Copilot,B2B,Hybrid,1190,1487,USD,Series C,315000000,200000000,2021,No,3.8,No,9,7.5,8,6,7,7.5,59.3
221,Sierra.ai,sierra.ai,San Francisco USA,Conversational AI for Enterprises,B2B,Hybrid SF,1275,1572,USD,Series B,430000000,175000000,2025,No,4.0,No,9,8,8.5,6,7,8,60.5
222,Zendesk AI PM,zendesk.com,San Francisco USA,Customer Service AI,Both,Hybrid,1190,1487,USD,PE-owned,0,N/A,2023,No,3.8,Yes,8,7.5,8,6,7,7.5,59.5
223,Freshworks,freshworks.com,San Mateo USA,CRM & Customer Service,Both,Hybrid,1020,1317,USD,Public,0,Near profitable,N/A,No,3.8,No,7,7,8,6,7,7.5,56.5
224,Zoho,zoho.com,Chennai India,Business Software Suite,Both,Hybrid Chennai,22,35,INR,Bootstrapped,0,Profitable,N/A,No,3.8,No,6,5,9,5,6,7.5,52.3
225,Postman,postman.com,San Francisco USA,API Development Platform,Both,Hybrid SF,1190,1487,USD,Series D,433000000,225000000,2022,No,4.0,No,7,7.5,8.5,6,7,8,57.8
226,Figma Dev Mode PM,figma.com,Remote,Design-to-Dev Tools,Both,Remote,1360,1700,USD,Pre-IPO,0,Profitable,N/A,Yes,4.5,Yes,9,8.5,9,10,10,9,73.5
227,Zomato,zomato.com,Gurugram India,Food Delivery B2C,B2C,Hybrid Gurugram,30,45,INR,Public,0,Profitable,N/A,No,3.8,No,7,5.5,8.5,5,8,7.5,58.7
228,Swiggy (senior PM),swiggy.com,Bangalore India,B2C Food & Quick Commerce,B2C,Hybrid Bangalore,40,60,INR,Public,0,Not profitable,N/A,No,3.7,No,7,7,7.5,6,9,7.5,64.0
229,Nykaa,nykaa.com,Mumbai India,D2C Beauty & Fashion,B2C,Hybrid Mumbai,22,35,INR,Public,0,Near profitable,N/A,No,3.7,No,7,5,8,5,9,7.5,56.0
230,Myntra (Flipkart),myntra.com,Bangalore India,Fashion E-commerce B2C,B2C,Hybrid Bangalore,30,45,INR,Subsidiary,0,Profitable,N/A,No,3.8,No,7,5.5,8.5,6,9,7.5,58.3
231,Flipkart,flipkart.com,Bangalore India,E-commerce B2C,B2C,Hybrid Bangalore,35,50,INR,Pre-IPO,0,N/A,N/A,No,3.8,No,7,6.5,8.5,6,9,7.5,59.8
232,Amazon India PM,amazon.in,Bangalore India,E-commerce B2C,Both,Hybrid Bangalore,40,65,INR,Public,0,Profitable,N/A,Yes,3.8,Yes,7,7,10,6,7,7.5,61.8
233,PayTM,paytm.com,Noida India,Digital Payments/Fintech,Both,Hybrid Noida,22,35,INR,Public,0,Not profitable,N/A,No,3.5,No,7,5,7,5,7,7,51.0
234,Ola Cabs,olacabs.com,Bangalore India,Ride-hailing B2C,B2C,Hybrid Bangalore,25,40,INR,Series J,3800000000,300000000,2023,No,3.3,No,7,5,6.5,6,8,6.5,52.8
235,Urban Company,urbancompany.com,Gurugram India,Home Services B2C,B2C,Hybrid Gurugram,25,40,INR,Series F,287000000,255000000,2022,No,3.8,No,7,5,7.5,5,9,7.5,54.0
236,Spinny,spinny.com,Gurugram India,Used Cars B2C,B2C,Hybrid Gurugram,20,35,INR,Series E,315000000,65000000,2022,No,3.7,No,6,4.5,7,5,8,7.5,51.5
237,Vedantu,vedantu.com,Bangalore India,EdTech B2C,B2C,Hybrid Bangalore,15,25,INR,Series E,315000000,100000000,2021,No,3.5,No,7,3.5,6.5,6,8,7,48.5
238,Physics Wallah,pw.live,Noida India,EdTech B2C,B2C,Hybrid Noida,18,30,INR,Series B,100000000,100000000,2022,No,3.7,No,7,4.5,7.5,5,8,7.5,52.5
239,Unacademy,unacademy.com,Bangalore India,EdTech B2C,B2C,Hybrid Bangalore,20,35,INR,Series H,440000000,150000000,2021,No,3.5,No,7,4.5,7,6,8,7,51.5
240,Byju's,byjus.com,Bangalore India,EdTech B2C,B2C,Hybrid Bangalore,15,28,INR,Series F,5700000000,250000000,2022,No,2.5,No,7,3.5,5,6,8,5,45.0
241,Coursera,coursera.org,Mountain View USA,Online Learning B2C,B2C,Hybrid,1020,1275,USD,Public,0,Near profitable,N/A,Yes,3.9,No,7,7,7.5,6,8,7.5,57.8
242,Udemy,udemy.com,San Francisco USA,Online Learning B2C,B2C,Hybrid SF,1020,1275,USD,Public,0,Profitable,N/A,Yes,3.9,No,7,7,8,6,8,7.5,58.3
243,MasterClass,masterclass.com,San Francisco USA,Premium Online Learning,B2C,Hybrid,1020,1275,USD,Series G,461000000,225000000,2021,No,4.1,No,7,7,7.5,6,8,8.5,57.5
244,Brilliant.org,brilliant.org,San Francisco USA,Interactive STEM Learning,B2C,Remote,850,1105,USD,Series B,33000000,12000000,2018,No,4.3,No,7,6,7,10,8,8.5,57.0
245,Photoroom,photoroom.com,Paris France,AI Photo Editing B2C,B2C,Remote-friendly,850,1190,USD,Series B,58000000,43000000,2023,No,4.2,No,9,6.5,7.5,8,9,8.5,60.5
246,Lensa AI (Prisma Labs),prisma-ai.com,Distributed,AI Photo/Video Editing,B2C,Remote,595,850,USD,Seed,1000000,1000000,2021,No,3.8,No,9,5,5,10,9,7.5,53.5
247,Remove.bg (Canva),remove.bg,Distributed,AI Background Removal,B2C,Remote,850,1105,USD,Acquired,Acquired,Acquired,2021,No,4.0,No,9,6,9,10,9,8,64.5
248,Topaz Labs,topazlabs.com,Dallas USA,AI Photo Enhancement,B2C,Remote,850,1105,USD,Bootstrapped,0,Profitable,N/A,No,4.2,No,9,6,8,10,9,8.5,62.5
249,Lightricks,lightricks.com,Jerusalem Israel,AI Creative Apps B2C,B2C,Hybrid Jerusalem,850,1190,USD,Series E,335000000,130000000,2023,No,4.0,No,9,6.5,8,6,9,8,59.5
250,Artisse,artisse.ai,San Francisco USA,AI Photo Editing B2C,B2C,Hybrid,595,935,USD,Series A,5000000,5000000,2023,No,4.0,No,9,5.5,6,6,9,8,54.5
251,Hippocratic AI,hippocratic.ai,Palo Alto USA,Healthcare AI Agents,B2B,Hybrid,1190,1487,USD,Series C,190000000,141000000,Nov-2025,No,4.0,No,9,7.5,9,6,7,8,60.5
252,Nabla,nabla.com,Paris France,AI for Healthcare Clinicians,B2B,Hybrid Paris,680,935,USD,Series B,30000000,24000000,2023,No,4.1,No,8,5.5,7.5,6,7,8,54.8
253,Abridge,abridge.com,Pittsburgh USA,Clinical AI Documentation,B2B,Hybrid,1020,1317,USD,Series C,212500000,150000000,2025,No,4.0,No,8,7,8.5,6,7,8,57.8
254,Suki,suki.ai,Redwood City USA,AI Voice Assistant for Doctors,B2B,Hybrid,935,1190,USD,Series D,165000000,70000000,2023,No,3.9,No,8,6.5,8,6,7,7.5,56.3
255,Dovetail,dovetail.com,Sydney Australia,User Research Repository,B2B,Remote-first,850,1105,USD,Series A,63000000,63000000,2022,No,4.4,No,7,6,7.5,10,7,8.5,56.8
256,UserLeap (Sprig),sprig.com,San Francisco USA,In-product Research,B2B,Hybrid,1105,1402,USD,Series B,90000000,30000000,2022,No,4.2,No,7,7,7.5,6,7,8.5,57.5
257,Productboard (Czech PM),productboard.com,Prague Czech Republic,Product Management,B2B,Hybrid,680,935,USD,Series C,112000000,72000000,2022,No,4.1,No,6,5.5,7,6,7,8,53.3
258,Gainsight,gainsight.com,San Francisco USA,Customer Success Platform,B2B,Hybrid,1020,1317,USD,Series H,1120000000,200000000,2021,No,3.8,No,6,7,8,6,6,7.5,55.5
259,ChurnZero,churnzero.com,Washington DC USA,Customer Success AI,B2B,Hybrid,850,1105,USD,Series C,120000000,35000000,2022,No,3.8,No,6,6,7.5,6,6,7.5,52.8
260,Totango,totango.com,San Francisco USA,Customer Success,B2B,Hybrid,850,1105,USD,Series D,96000000,60000000,2019,No,3.7,No,6,6,7.5,6,6,7.5,52.5
261,Stripe PM,stripe.com,San Francisco USA,Payments Infrastructure,Both,Hybrid SF,1445,1785,USD,Late Stage,2200000000,694000000,2023,No,4.0,Yes,7,8.5,9.5,6,7,8,63.5
262,Plaid,plaid.com,San Francisco USA,Fintech Data Network,Both,Hybrid SF,1275,1572,USD,Series D,734000000,425000000,2021,No,4.0,No,7,8,8.5,6,7,8,59.8
263,Robinhood,robinhood.com,Menlo Park USA,Consumer Investing App,B2C,Hybrid,1190,1487,USD,Public,0,Profitable,N/A,No,3.7,No,7,7.5,8,6,8,7.5,60.5
264,Coinbase,coinbase.com,Remote USA,Crypto Exchange B2C,Both,Remote-first,1360,1700,USD,Public,0,Profitable,N/A,Yes,3.8,No,7,8.5,8.5,10,7,7.5,62.3
265,Binance,binance.com,Global/UAE,Crypto Exchange,Both,Remote,850,1190,USD,Private,0,Profitable,N/A,No,3.5,No,7,7,8.5,10,7,7,60.5
266,Polygon (MATIC),polygon.technology,India/Global,Blockchain/Web3,Both,Remote,850,1190,USD,Private,450000000,450000000,2022,No,3.8,No,7,6.5,8,10,7,7.5,58.8
267,CoinDCX,coindcx.com,Mumbai India,Crypto Exchange India,Both,Hybrid Mumbai,17,28,INR,Series D,135000000,135000000,2022,No,3.7,No,7,4,7.5,5,7,7.5,50.3
268,Razorpay India (senior),razorpay.com,Bangalore India,Fintech B2C-adjacent,Both,Hybrid Bangalore,45,65,INR,Series F,741500000,375000000,2021,No,3.8,No,7,8,8,6,7,7.5,64.5
269,Cashfree Payments,cashfree.com,Bangalore India,Payments API,B2B,Hybrid Bangalore,20,32,INR,Series B,35000000,35000000,2022,No,3.8,No,7,4.5,7,6,7,7.5,51.5
270,Slice (North),sliceit.in,Bangalore India,Consumer Credit Card,B2C,Hybrid Bangalore,18,30,INR,Series B,220000000,220000000,2022,No,3.7,No,7,4.5,7,6,8,7.5,52.0
271,Fi Money,fi.money,Bangalore India,Consumer Neobank,B2C,Hybrid Bangalore,20,35,INR,Series C,110000000,50000000,2022,No,4.0,No,7,5,7.5,6,8,8,54.3
272,Jupiter,jupiter.money,Mumbai India,Consumer Banking App,B2C,Hybrid Mumbai,18,30,INR,Series C,92000000,45000000,2022,No,4.0,No,7,4.5,7,6,8,8,53.3
273,Open Financial,open.money,Bangalore India,SMB Banking,B2B,Hybrid Bangalore,15,25,INR,Series D,130000000,50000000,2022,No,3.8,No,7,4,7.5,6,7,7.5,51.5
274,KreditBee,kreditbee.in,Bangalore India,Consumer Lending,B2C,Hybrid Bangalore,15,25,INR,Series D,700000000,160000000,2023,No,3.5,No,6,4,7.5,6,7,7,49.5
275,Smallcase,smallcase.com,Bangalore India,Retail Investing Platform,B2C,Hybrid Bangalore,18,30,INR,Series C,40000000,40000000,2021,No,4.0,No,7,4.5,7,6,8,8,52.5
276,Dhan,dhan.co,Mumbai India,Stock Trading Platform,B2C,Hybrid Mumbai,18,28,INR,Series B,50000000,50000000,2022,No,4.0,No,7,4.5,7,6,8,8,52.0
277,Zerodha,zerodha.com,Bangalore India,Discount Broking B2C,B2C,Hybrid Bangalore,20,35,INR,Bootstrapped,0,Profitable,N/A,No,4.2,No,7,5,8.5,6,8,8.5,56.3
278,Nuo (Finfluencer),nuo.in,India,Fintech B2C,B2C,Hybrid,12,20,INR,Seed,1000000,1000000,2023,No,3.5,No,6,2.5,5,6,7,7,43.5
279,Shiprocket,shiprocket.in,New Delhi India,E-commerce Logistics Tech,Both,Hybrid Delhi,18,30,INR,Series E,140000000,33000000,2022,No,3.7,No,7,4.5,7.5,5,7,7.5,51.5
280,Delhivery,delhivery.com,Gurugram India,Logistics Tech,Both,Hybrid Gurugram,20,32,INR,Public,0,Near profitable,N/A,No,3.7,No,7,5,7.5,5,7,7.5,52.3
281,Porter,porter.in,Bangalore India,Intra-city Logistics B2C,B2C,Hybrid Bangalore,18,28,INR,Series E,220000000,140000000,2024,No,3.7,No,7,4.5,7.5,6,8,7.5,52.3
282,OfBusiness,ofbusiness.com,Gurugram India,B2B Commerce Platform,B2B,Hybrid Gurugram,22,38,INR,Series G,700000000,200000000,2022,No,3.6,No,6,5,8,5,6,7,50.3
283,Infra.Market,inframarket.in,Mumbai India,B2B Construction Commerce,B2B,Hybrid Mumbai,20,32,INR,Series F,200000000,125000000,2022,No,3.5,No,6,5,7.5,5,6,7,49.5
284,1mg (Tata),1mg.com,Gurugram India,Online Pharmacy B2C,B2C,Hybrid Gurugram,18,28,INR,Acquired,300000000,Acquired,2021,No,3.8,No,7,4.5,7.5,5,8,7.5,52.3
285,PharmEasy,pharmeasy.in,Mumbai India,Online Pharmacy B2C,B2C,Hybrid Mumbai,15,25,INR,Series G,650000000,200000000,2021,No,3.3,No,7,3.5,6,5,8,6.5,48.0
286,Niramai,niramai.com,Bangalore India,AI Health Diagnostics,B2B,Hybrid Bangalore,12,22,INR,Series B,9000000,9000000,2021,No,3.9,No,8,3,6.5,6,7,7.5,48.0
287,Tricog Health,tricog.com,Bangalore India,AI Cardiac Diagnostics,B2B,Hybrid Bangalore,12,20,INR,Series B,12000000,12000000,2022,No,3.8,No,8,3,6.5,6,7,7.5,47.5
288,SigTuple,sigtuple.com,Bangalore India,AI Medical Diagnostics,B2B,Hybrid Bangalore,12,20,INR,Series B,19000000,8000000,2022,No,3.7,No,8,3,6.5,6,7,7.5,47.3
289,Navi Health (PM),navi.com,Bangalore India,Consumer Health Insurance,B2C,Hybrid Bangalore,18,30,INR,Pre-IPO,193000000,70000000,2021,No,3.7,No,7,4.5,7.5,6,8,7.5,52.5
290,Acko,acko.com,Bangalore India,InsurTech B2C,B2C,Hybrid Bangalore,20,35,INR,Series E,457000000,255000000,2021,No,3.8,No,7,5,7.5,6,8,7.5,54.3
