Rank,Company,Website,Headquarters,Industry/Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,CTC Source,Role Types,Hiring Status,Role Impact Signal,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Investors,Profitability,Revenue Estimate,WLB Rating,Visa Sponsorship,Domain Growth Score,Industry Alignment Score (0-10),Comp Score (0-10),Stability & Growth Score (0-10),Work Mode Score (0-10),WLB Score (0-10),Match Score (0-100)
291,PolicyBazaar,policybazaar.com,Gurugram India,Insurance Marketplace,B2C,Hybrid Gurugram,20,35,INR,Public,0,Near profitable,N/A,No,3.8,No,7,5,7.5,5,7,7.5,53.5
292,Onsurity,onsurity.com,Bangalore India,SMB Health Insurance,B2B,Hybrid Bangalore,15,25,INR,Series B,40000000,25000000,2022,No,4.0,No,8,4,7,6,7,8,50.3
293,Park+,parkplus.io,Gurugram India,Parking & Mobility B2C,B2C,Hybrid Gurugram,15,25,INR,Series C,50000000,25000000,2022,No,3.8,No,6,4,7,6,7,7.5,49.0
294,Ather Energy,atherenergy.com,Bangalore India,EV / Consumer Hardware,B2C,Hybrid Bangalore,18,30,INR,Pre-IPO,310000000,128000000,2023,No,3.8,No,7,4.5,7.5,6,8,7.5,52.8
295,Ola Electric,olaelectric.com,Bangalore India,EV Scooters B2C,B2C,Hybrid Bangalore,20,35,INR,Public,0,Not profitable,N/A,No,3.2,No,7,5,7,5,8,6.5,52.5
296,Rapido,rapido.bike,Bangalore India,Bike Taxi B2C,B2C,Hybrid Bangalore,18,30,INR,Series E,180000000,200000000,2023,No,3.5,No,7,4.5,7.5,6,8,7,51.8
297,Stanza Living,stanzaliving.com,Delhi India,Student/Young Pro Housing,B2C,Hybrid Delhi,15,25,INR,Series D,219000000,53000000,2022,No,3.5,No,6,4,7,5,7,7,48.5
298,Housing.com (PropTiger),housing.com,Mumbai India,Online Real Estate B2C,B2C,Hybrid Mumbai,18,28,INR,Subsidiary,0,N/A,N/A,No,3.7,No,6,4.5,7,5,7,7.5,49.8
299,NoBroker,nobroker.in,Bangalore India,PropTech B2C,B2C,Hybrid Bangalore,18,30,INR,Series E,210000000,210000000,2021,No,3.8,No,6,4.5,7.5,6,7,7.5,50.8
300,ShareChat,sharechat.com,Bangalore India,Social Media B2C India,B2C,Hybrid Bangalore,20,35,INR,Series J,1100000000,255000000,2021,No,3.5,No,7,5,7.5,6,9,7,54.0
301,Dailyhunt (Verse),dailyhunt.in,Bangalore India,News + Short Video B2C,B2C,Hybrid Bangalore,18,28,INR,Series B,805000000,805000000,2022,No,3.5,No,7,4.5,7.5,6,9,7,53.3
302,Josh,mxmvideo.in,Bangalore India,Short Video B2C,B2C,Hybrid Bangalore,18,28,INR,Subsidiary,0,N/A,N/A,No,3.5,No,8,4.5,7.5,6,9,7,54.0
303,Moj (ShareChat),sharechat.com,Bangalore India,Short Video B2C India,B2C,Hybrid Bangalore,20,35,INR,Series J,1100000000,255000000,2021,No,3.5,No,8,5,7.5,6,9,7,55.0
304,Lokal,lokal.social,Hyderabad India,Hyperlocal Content B2C,B2C,Hybrid Hyderabad,12,20,INR,Series B,9000000,9000000,2021,No,3.8,No,7,3,6.5,6.5,8,7.5,48.5
305,InShorts,inshorts.com,Bangalore India,News App B2C,B2C,Hybrid Bangalore,15,25,INR,Series C,100000000,60000000,2022,No,3.7,No,7,4,7,6,8,7.5,51.0
306,Pratilipi,pratilipi.com,Bangalore India,Indian Language Content,B2C,Hybrid Bangalore,12,20,INR,Series D,57000000,48000000,2021,No,3.8,No,7,3,7,6,8,7.5,49.0
307,Kutumb,kutumb.app,Bangalore India,Community App India,B2C,Hybrid Bangalore,12,20,INR,Series A,15000000,15000000,2022,No,3.8,No,7,3,6.5,6,8,7.5,48.5
308,Clip (short video),clip.com,India,Short Video AI,B2C,Hybrid,10,18,INR,Seed,2000000,2000000,2023,No,3.5,No,8,2.5,5.5,6,8,7,46.8
309,FrontRow,frontrow.co,Mumbai India,Live Studio Learning,B2C,Hybrid Mumbai,12,20,INR,Series A,17000000,17000000,2021,No,3.7,No,7,3,6.5,6,8,7.5,49.0
310,Khatabook,khatabook.com,Bangalore India,SMB Bookkeeping,B2B,Hybrid Bangalore,15,25,INR,Series C,100000000,100000000,2021,No,3.7,No,6,4,7.5,6,7,7.5,50.5
311,OkCredit,okcredit.in,Bangalore India,SMB Credit Management,B2B,Hybrid Bangalore,12,20,INR,Series B,83000000,67000000,2021,No,3.7,No,6,3,7,6,7,7.5,49.0
312,Locus,locus.sh,Bangalore India,AI Logistics Optimization,B2B,Hybrid Bangalore,18,30,INR,Series C,81000000,50000000,2022,No,3.8,No,7,4.5,7.5,6,7,7.5,52.5
313,GreyOrange,greyorange.com,Gurugram India,Warehouse Robotics AI,B2B,Hybrid Gurugram,18,30,INR,Series D,170000000,135000000,2021,No,3.5,No,7,4.5,7.5,5,7,7,50.8
314,Detect Technologies,detect.app,Chennai India,Industrial AI Safety,B2B,Hybrid Chennai,12,22,INR,Series B,15000000,15000000,2022,No,3.7,No,8,3,6.5,6,7,7.5,48.3
315,SigSense,sigsense.ai,Hyderabad India,Industrial IoT AI,B2B,Hybrid Hyderabad,10,18,INR,Series A,6000000,6000000,2022,No,3.6,No,7,2.5,6,6.5,7,7.5,46.3
316,Mad Street Den (Vue.ai),vue.ai,Chennai India,AI for Retail,B2B,Hybrid Chennai,15,25,INR,Series C,30000000,25000000,2022,No,3.8,No,8,4,7,6,7,7.5,51.8
317,Scaler Academy,scaler.com,Bangalore India,Tech EdTech B2C,B2C,Hybrid Bangalore,18,30,INR,Series B,55000000,55000000,2022,No,3.8,No,7,4.5,7.5,6,8,7.5,52.8
318,Masai School,masaischool.com,Bangalore India,Coding Bootcamp B2C,B2C,Hybrid Bangalore,12,20,INR,Series B,35000000,35000000,2022,No,3.7,No,7,3,7,6,8,7.5,50.0
319,Apna.co,apna.co,Bangalore India,Job Platform Blue-collar,B2C,Hybrid Bangalore,18,30,INR,Series D,193000000,100000000,2022,No,3.7,No,7,4.5,7.5,6,8,7.5,52.8
320,Internshala,internshala.com,Gurugram India,Internship Platform B2C,B2C,Hybrid Gurugram,15,22,INR,Bootstrapped,0,Profitable,N/A,No,3.8,No,6,4,8,5,7,7.5,50.8
321,Hirect,hirect.in,Hyderabad India,AI Hiring Chat Platform,Both,Hybrid Hyderabad,12,20,INR,Series A,10000000,10000000,2022,No,3.7,No,7,3,6.5,6.5,7,7.5,49.0
322,Springworks,springworks.in,Bangalore India,HR SaaS India,B2B,Hybrid Bangalore,15,25,INR,Series A,5000000,5000000,2021,No,4.0,No,6,4,6.5,6,6,8,49.5
323,Kredily,kredily.com,Bangalore India,HR Payroll India,B2B,Hybrid Bangalore,10,18,INR,Seed,2000000,2000000,2021,No,3.8,No,6,2.5,5.5,6,6,7.5,45.8
324,Razorpay X (neo-banking),razorpay.com,Bangalore India,Neobanking for Businesses,B2B,Hybrid Bangalore,35,50,INR,Series F,741500000,375000000,2021,No,3.8,No,7,6.5,8,6,7,7.5,59.8
325,Groww Mutual Fund PM,groww.in,Bangalore India,B2C FinTech Investing,B2C,Hybrid Bangalore,38,55,INR,Series F,393000000,251000000,2021,No,3.9,No,7,7,7.5,6,9,8,63.0
326,Lunchclub,lunchclub.com,San Francisco USA,AI Networking Platform,Both,Remote,850,1105,USD,Series A,25000000,4000000,2021,No,4.0,No,7,6,6.5,10,7,8,53.5
327,Hopin (RingCentral),hopin.com,Distributed,Virtual Events Platform,Both,Remote,850,1105,USD,Acquired,1000000000,Acquired,2022,No,3.8,No,6,6,7,10,6,7.5,52.0
328,Airmeet,airmeet.com,Bangalore India,Virtual Events Platform,Both,Hybrid Bangalore,15,25,INR,Series B,12000000,12000000,2021,No,3.8,No,6,4,6.5,6,6,7.5,47.0
329,Bevy,bevy.com,Palo Alto USA,Community Events Platform,B2B,Remote,850,1105,USD,Series C,40000000,26000000,2021,No,4.0,No,6,6,7,10,6,8,52.5
330,Swapcard,swapcard.com,Paris France,AI Event Management,B2B,Hybrid Paris,595,850,USD,Series A,13000000,13000000,2021,No,3.8,No,6,5,6.5,6,6,7.5,49.0
331,Eventbrite,eventbrite.com,Nashville USA,Event Ticketing B2C,B2C,Hybrid,850,1105,USD,Public,0,Near profitable,N/A,No,3.8,No,6,6,7.5,6,7,7.5,54.5
332,Dice.fm,dice.fm,London UK,Music & Events Discovery B2C,B2C,Hybrid London,595,850,USD,Series B,122000000,65000000,2021,No,4.1,No,8,5.5,7.5,6,9,8.5,56.5
333,Bandcamp (Songtradr),bandcamp.com,Oakland USA,Artist Music Platform B2C,B2C,Hybrid,850,1105,USD,Acquired,N/A,Acquired,2022,No,3.8,No,9,6,7,6,9,7.5,58.0
334,SoundCloud,soundcloud.com,Berlin Germany,Music Streaming & Creator,B2C,Hybrid Berlin,680,935,USD,Private,75000000,75000000,2021,No,4.0,No,9,5.5,7,6,9,8,58.5
335,Audiomack,audiomack.com,New York USA,Music Streaming B2C,B2C,Hybrid NY,680,935,USD,Series A,6000000,6000000,2021,No,3.8,No,9,5.5,6.5,6,9,7.5,57.0
336,Epidemic Sound,epidemicsound.com,Stockholm Sweden,Licensed Music for Creators,Both,Hybrid Stockholm,680,935,USD,Series C,450000000,450000000,2021,No,4.1,No,9,5.5,8,6,8,8.5,58.3
337,Artlist,artlist.io,Tel Aviv Israel,Licensed Music & SFX B2C,B2C,Hybrid,680,935,USD,Series A,48000000,48000000,2021,No,4.0,No,9,5.5,7.5,6,8,8,57.5
338,Moises App,moises.ai,São Paulo Brazil,AI Audio Tools Musicians,B2C,Remote,680,935,USD,Series A,7000000,7000000,2022,No,4.0,No,9,5.5,6.5,10,9,8,57.8
339,Endel,endel.io,Berlin Germany,AI Soundscapes / Wellness,B2C,Remote-friendly,595,850,USD,Seed,5000000,5000000,2022,No,4.2,No,8,5,6,8,8,8.5,54.3
340,Musicfy,musicfy.lol,San Francisco USA,AI Voice Cloning for Music,B2C,Remote,595,850,USD,Seed,2000000,2000000,2023,No,3.8,No,9,5,5.5,10,9,7.5,54.0
341,PlayHT,play.ht,Montreal Canada,AI Voice Generation B2B,Both,Remote,850,1105,USD,Series A,10000000,10000000,2023,No,4.0,No,9,6,7,10,8,8,57.5
342,Resemble AI,resemble.ai,San Francisco USA,AI Voice Cloning,Both,Remote,850,1105,USD,Series A,8000000,8000000,2022,No,4.0,No,9,6,6.5,10,8,8,56.8
343,Coqui,coqui.ai,Berlin Germany,Open-source TTS AI,Both,Remote,595,850,USD,Seed,3000000,3000000,2022,No,4.0,No,9,5,5.5,10,8,8,53.5
344,Aiva Technologies,aiva.ai,Luxembourg,AI Music Composition,B2C,Remote,595,850,USD,Bootstrapped,0,0,Profitable,No,4.1,No,9,5,7,10,9,8.5,56.5
345,Soundful,soundful.com,San Diego USA,AI Music Creator Tools,B2C,Remote,680,935,USD,Seed,2000000,2000000,2022,No,4.0,No,9,5.5,5.5,10,9,8,55.5
346,Loudly,loudly.com,Berlin Germany,AI Music Generation SaaS,Both,Remote,595,850,USD,Series A,5000000,5000000,2023,No,4.0,No,9,5,6.5,10,8,8,55.0
347,Boomy Music,boomy.com,San Francisco USA,AI Song Creation B2C,B2C,Hybrid,680,935,USD,Seed,6000000,6000000,2021,No,4.0,No,9,5.5,6,8,9,8,56.3
348,Splash (Harmonai),splashmusic.com,Tel Aviv Israel,AI Music Making App,B2C,Hybrid,680,935,USD,Series A,20000000,20000000,2022,No,4.0,No,9,5.5,7,6,9,8,57.0
349,Soundverse,soundverse.ai,Noida India,AI Music Platform India,Both,Hybrid Noida,12,20,INR,Seed,1000000,1000000,2023,No,4.0,No,9,3,5.5,6.5,9,8,49.5
350,Kaiber,kaiber.ai,San Francisco USA,AI Video / Music Visualizer,B2C,Remote,680,935,USD,Seed,5000000,5000000,2023,No,4.0,No,9,5.5,5.5,10,9,8,55.5
351,RunComfy (ComfyUI),runcomfy.com,Distributed,AI Image Gen Cloud,B2C,Remote,850,1105,USD,Seed,3000000,3000000,2024,No,4.0,No,9,6,5.5,10,9,8,55.8
352,Civitai,civitai.com,San Francisco USA,AI Art Model Community,B2C,Remote,680,935,USD,Seed,5000000,5000000,2023,No,4.0,No,9,5.5,5.5,10,9,7.5,55.0
353,NightCafe,creator.nightcafe.studio,Brisbane Australia,AI Art Creative Platform,B2C,Remote,595,850,USD,Bootstrapped,0,0,Profitable,No,4.1,No,9,5,7,10,9,8,56.0
354,Scenario,scenario.com,Paris France,AI Art for Game Developers,Both,Remote,680,935,USD,Seed,6000000,6000000,2023,No,4.1,No,9,5.5,6,10,9,8.5,56.3
355,Luma AI,lumalabs.ai,San Francisco USA,AI 3D / Video Generation,Both,Hybrid SF,1105,1402,USD,Series B,43000000,43000000,2023,No,4.0,No,9,7,8,6,9,8,59.3
356,Wonder Dynamics,wonderdynamics.com,Los Angeles USA,AI VFX Platform,Both,Hybrid,935,1190,USD,Acquired,10000000,Acquired,2023,No,4.0,No,9,6.5,7,6,9,8,57.5
357,Stability AI (EU),stability.ai,London UK,AI Image/Video Models,Both,Remote,850,1190,USD,Series A,101000000,101000000,2022,No,3.5,No,9,6,5.5,10,9,7,55.5
358,Ideogram,ideogram.ai,San Francisco USA,AI Image Generation,B2C,Hybrid SF,1105,1402,USD,Series B,80000000,80000000,2024,No,4.0,No,9,7,8,6,9,8,60.3
359,Adobe Firefly PM,adobe.com,Remote India,AI Creative Suite,Both,Remote,45,65,INR,Public,0,Profitable,N/A,Yes,4.0,Yes,9,8,10,10,9,8,71.5
360,Canva (India PM contract),canva.com,Remote India,AI Design Platform,Both,Remote,40,60,INR,Late Stage,0,Profitable,N/A,Yes,4.3,Yes,9,7.5,9,10,10,8.5,70.3
361,Figma (Europe PM),figma.com,Remote EU,AI Design Tools,Both,Remote,680,935,USD,Pre-IPO,0,Profitable,N/A,No,4.5,No,9,5.5,9,10,10,9,66.5
362,Sketch,sketch.com,Amsterdam Netherlands,Design Tool,Both,Remote-first,595,850,USD,Bootstrapped,0,Profitable,N/A,No,4.4,No,8,5,9,10,9,8.5,61.5
363,Procreate (Savage Interactive),procreate.com,Hobart Australia,Digital Art iOS App,B2C,Hybrid,595,850,USD,Bootstrapped,0,Profitable,N/A,No,4.5,No,9,5,9,6,9,9,61.0
364,Affinity (Canva),affinity.serif.com,Nottingham UK,Professional Design Suite,Both,Remote,595,850,USD,Acquired,Acquired,Acquired,2024,No,4.2,No,8,5,8.5,10,9,8.5,61.5
365,Clip Studio Paint (Celsys),clipstudio.net,Tokyo Japan,Digital Art Software,B2C,Hybrid,595,850,USD,Public,0,Profitable,N/A,No,4.0,No,8,5,9,6,8,8,58.0
366,Vectornator (Linearity),linearity.io,Zurich Switzerland,AI Vector Design B2C,Both,Hybrid Zurich,595,935,USD,Series A,12000000,12000000,2022,No,4.2,No,8,6,6.5,6,9,8.5,56.3
367,Graphite.dev,graphite.dev,San Francisco USA,AI Code Review tool,Both,Remote,1105,1402,USD,Series B,52000000,52000000,2024,No,4.0,No,9,7,8,10,8,8,60.5
368,Swimm,swimm.io,Tel Aviv Israel,AI Code Documentation,Both,Remote,850,1105,USD,Series B,27500000,17500000,2022,No,4.0,No,9,6,7.5,10,8,8,58.5
369,Codium AI,codium.ai,Israel,AI Test Generation,Both,Remote,850,1105,USD,Series B,40000000,29000000,2023,No,4.0,No,9,6,7.5,10,8,8,58.5
370,Pieces for Developers,pieces.app,Cincinnati USA,AI Developer Memory,Both,Hybrid,850,1105,USD,Series A,8000000,8000000,2023,No,4.1,No,9,6,6.5,6,8,8.5,55.8
371,Zepp Health,zepp.com,San Jose USA,Wearables / Consumer Health,B2C,Hybrid,935,1190,USD,Public,0,Near profitable,N/A,Yes,3.8,No,7,6.5,8,6,8,7.5,57.5
372,Oura Ring,ouraring.com,Oulu Finland,Consumer Health Wearable,B2C,Hybrid,1105,1402,USD,Series D,148000000,75000000,2022,No,4.2,No,7,7,8.5,6,8,8.5,59.5
373,Whoop,whoop.com,Boston USA,Athletic Health Wearable,B2C,Hybrid Boston,1020,1275,USD,Series F,400000000,200000000,2021,No,4.0,No,7,7,8.5,6,8,8,59.0
374,Calm,calm.com,San Francisco USA,Mental Wellness App B2C,B2C,Hybrid,1020,1275,USD,Series C,218000000,75000000,2020,No,4.2,No,7,7,8,6,8,8.5,58.5
375,Noom,noom.com,New York USA,Health & Weight Loss B2C,B2C,Hybrid NY,935,1190,USD,Series F,540000000,540000000,2021,No,3.8,No,7,6.5,8,6,8,7.5,57.3
376,Strava,strava.com,San Francisco USA,Fitness Social Network B2C,B2C,Hybrid SF,935,1190,USD,Series E,110000000,110000000,2020,Yes,4.3,No,7,6.5,8,6,8,8.5,57.5
377,Zwift,zwift.com,Long Beach USA,Virtual Cycling Racing B2C,B2C,Hybrid,935,1190,USD,Series B,450000000,450000000,2020,No,3.8,No,7,6.5,8,6,8,7.5,57.0
378,Peloton,onepeloton.com,New York USA,Connected Fitness B2C,B2C,Hybrid NY,1020,1275,USD,Public,0,Not profitable,N/A,No,3.5,No,7,7,7,6,8,7,55.8
379,Flo Health,flo.health,London UK,Women Health App B2C,B2C,Hybrid London,850,1105,USD,Series C,200000000,200000000,2023,No,4.2,No,8,6,8,6,8,8.5,58.3
380,BetterUp,betterup.com,San Francisco USA,AI Coaching for Professionals,Both,Hybrid,1190,1487,USD,Series E,300000000,100000000,2022,No,4.1,No,7,7.5,8.5,6,7,8.5,59.8
381,Maven Clinic,maven.com,New York USA,Women & Family Health,Both,Hybrid NY,1105,1402,USD,Series F,300000000,125000000,2023,No,4.2,No,7,7,8.5,6,7,8.5,58.8
382,Cerebral,cerebral.com,San Francisco USA,Mental Health Platform,B2C,Remote,935,1190,USD,Series C,300000000,300000000,2021,No,3.7,No,8,6.5,7.5,10,8,7.5,58.3
383,Spring Health,springhealth.com,New York USA,Mental Health Benefits,B2B,Hybrid NY,1105,1402,USD,Series E,426000000,100000000,2024,No,4.1,No,7,7,8.5,6,7,8,58.5
384,Sword Health,swordhealth.com,San Francisco USA,Digital PT / MSK Health,B2B,Hybrid,935,1190,USD,Series D,163000000,163000000,2021,No,4.0,No,7,6.5,8,6,7,8,57.3
385,Ro (Roman Health),ro.co,New York USA,Telehealth B2C,B2C,Hybrid NY,1020,1275,USD,Series D,876000000,150000000,2022,No,3.9,No,7,7,8.5,6,8,7.5,58.5
386,Hims & Hers,forhims.com,San Francisco USA,DTC Health & Wellness,B2C,Hybrid,935,1190,USD,Public,0,Near profitable,N/A,No,3.8,No,7,6.5,8,6,8,7.5,57.3
387,Noom Health,noom.com,New York USA,Consumer Behavioral Health,B2C,Hybrid,935,1190,USD,Series F,540000000,200000000,2021,No,3.8,No,7,6.5,8,6,8,7.5,57.3
388,Wysa,wysa.io,London UK,AI Mental Health Companion,B2C,Hybrid,595,850,USD,Series B,20000000,20000000,2022,No,4.2,No,8,5,7,6,8,8.5,55.0
389,Woebot Health,woebot.io,San Francisco USA,AI Mental Health Chatbot,B2C,Hybrid,850,1105,USD,Series B,90000000,90000000,2021,No,4.1,No,8,6,7.5,6,8,8,57.3
390,Koo App,kooapp.com,Bangalore India,Twitter-alt India B2C,B2C,Hybrid Bangalore,12,20,INR,Series D,67000000,20000000,2022,No,3.3,No,7,3,6.5,6,8,6.5,47.5
391,Presto Automation,presto.com,San Jose USA,AI for Restaurant Ordering,B2B,Hybrid,850,1105,USD,Public,0,Not profitable,N/A,No,3.3,No,7,6,6,6,7,6.5,51.8
392,Pepper Content,peppercontent.io,Mumbai India,AI Content Platform,Both,Hybrid Mumbai,15,25,INR,Series B,16000000,16000000,2022,No,3.8,No,7,4,7,6,7,7.5,50.5
393,Quizizz,quizizz.com,Bangalore India,EdTech Gamification,Both,Hybrid Bangalore,18,30,INR,Series C,31500000,31500000,2022,No,4.0,No,7,4.5,7.5,6,7,8,52.5
394,Tobi.ai,tobi.ai,Stockholm Sweden,AI Customer Support,B2B,Hybrid,680,935,USD,Series A,7000000,7000000,2022,No,4.0,No,8,5.5,6.5,6,7,8,53.3
395,Tiledesk,tiledesk.com,Italy,Open-source AI Chat,Both,Remote,595,850,USD,Seed,2000000,2000000,2022,No,4.0,No,7,5,5.5,10,7,8,52.0
396,Kommunicate,kommunicate.io,Bangalore India,AI Customer Support India,B2B,Hybrid Bangalore,12,20,INR,Seed,1000000,1000000,2022,No,3.8,No,7,3,5.5,6.5,7,7.5,47.0
397,Yellow.ai,yellow.ai,San Francisco USA,Conversational AI B2B,B2B,Hybrid,850,1105,USD,Series D,102000000,78000000,2022,No,3.8,No,8,6,8,6,7,7.5,56.8
398,Haptik (Jio),haptik.ai,Mumbai India,Conversational AI India,B2B,Hybrid Mumbai,15,25,INR,Acquired,100000000,Acquired,2019,No,3.7,No,7,4,7.5,6,7,7.5,51.3
399,Kore.ai,kore.ai,Orlando USA,Enterprise AI Agents,B2B,Hybrid,1020,1317,USD,Series D,238000000,150000000,2024,No,3.8,No,9,7,8.5,6,7,7.5,59.5
400,Aisera,aisera.com,Palo Alto USA,Enterprise AI Service Desk,B2B,Hybrid,1020,1317,USD,Series E,183000000,90000000,2022,No,3.8,No,9,7,8.5,6,7,7.5,59.0
